Game_id,Name
1,Counter-Strike: Global Offensive
2,Dota 2
3,PLAYERUNKNOWN'S BATTLEGROUNDS
4,Grand Theft Auto V
5,Tom Clancy's Rainbow Six Siege
6,Team Fortress 2
7,Football Manager 2020
8,ARK: Survival Evolved
9,Monster Hunter: World
10,Destiny 2
11,Rust
12,Warframe
13,Dead by Daylight
14,Terraria
15,Rocket League
16,Sid Meier's Civilization VI
17,Path of Exile
18,Garry's Mod
19,NBA 2K20
20,Sea of Thieves
21,Euro Truck Simulator 2
22,PAYDAY 2
23,Hearts of Iron IV
24,Total War: WARHAMMER II
25,7 Days to Die
26,Don't Starve Together
27,War Thunder
28,The Elder Scrolls Online
29,Stardew Valley
30,Left 4 Dead 2
31,Super Smash Bros: Ultimate
32,Call of Duty: Modern Warfare
33,Call of Duty: Black Ops 3
34,League of Legends
35,Roblox
36,Minecraft
37,Overwatch
38,World of Warcraft
39,Starcraft 2
40,Heroes of the Storm
41,Red Dead Redemption 2
42,Fortnite
43,Call of Duty: Warzone
44,Apex Legends
45,Valorant
46,Hyper Scape
47,DayZ
48,World of Tanks
49,Black Desert Online
50,Hearthstone